Tool,Family,Status,Priority
Role-Fit Diagnostic,Explore,Current,MVP
Europe 2026 Shortage Roles Explorer,Explore,Current,MVP
LinkedIn-to-German-CV Builder,Prepare,Current,MVP
Germany Job Offer Checker,Decide,Current,MVP
Recognition Readiness,Qualify,Planned,Next
German-Language Readiness,Qualify,Planned,Next
Payslip / Salary Explainer,Decide,Planned,Next
First 30 Days Planner,Move,Planned,Next
Housing Readiness / Safety,Settle,Planned,Next
Banking Readiness,Settle,Planned,Later
Insurance Orientation,Settle,Planned,Later
Career Restart / Spouse Diagnostic,Progress,Planned,Later
